Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"LFHRP Labour Force Status and Hours Worked Not Stated, OCCP Occupation, INCP Total Personal Income (weekly) and AGE10P  Age in Ten Year Groups"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"


"LFHRP Labour Force Status and Hours Worked Not Stated","OCCP Occupation","INCP Total Personal Income (weekly)","AGE10P  Age in Ten Year Groups",
,,"$800-$999 ($41,600-$51,999)","20-29 years",8,
,,,"30-39 years",3,
,,,"40-49 years",6,
,,,"50-59 years",13,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",6,
,,,"30-39 years",14,
,,,"40-49 years",8,
,,,"50-59 years",17,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",8,
,,,"30-39 years",13,
,,,"40-49 years",21,
,,,"50-59 years",15,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",8,
,,,"30-39 years",38,
,,,"40-49 years",47,
,,,"50-59 years",44,
,,"$2,000 or more ($104,000 or more)","20-29 years",0,
,,,"30-39 years",17,
,,,"40-49 years",48,
,,,"50-59 years",62,
,"Child Care Centre Managers","$400-$599 ($20,800-$31,199)","20-29 years",35,
,,,"30-39 years",50,
,,,"40-49 years",41,
,,,"50-59 years",34,
,,"$600-$799 ($31,200-$41,599)","20-29 years",249,
,,,"30-39 years",219,
,,,"40-49 years",137,
,,,"50-59 years",116,
,,"$800-$999 ($41,600-$51,999)","20-29 years",427,
,,,"30-39 years",518,
,,,"40-49 years",331,
,,,"50-59 years",197,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",451,
,,,"30-39 years",634,
,,,"40-49 years",454,
,,,"50-59 years",324,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",87,
,,,"30-39 years",290,
,,,"40-49 years",238,
,,,"50-59 years",181,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",37,
,,,"30-39 years",176,
,,,"40-49 years",198,
,,,"50-59 years",164,
,,"$2,000 or more ($104,000 or more)","20-29 years",13,
,,,"30-39 years",66,
,,,"40-49 years",121,
,,,"50-59 years",90,
,"Health and Welfare Services Managers","$400-$599 ($20,800-$31,199)","20-29 years",6,
,,,"30-39 years",14,
,,,"40-49 years",25,
,,,"50-59 years",36,
,,"$600-$799 ($31,200-$41,599)","20-29 years",71,
,,,"30-39 years",64,
,,,"40-49 years",112,
,,,"50-59 years",116,
,,"$800-$999 ($41,600-$51,999)","20-29 years",133,
,,,"30-39 years",184,
,,,"40-49 years",241,
,,,"50-59 years",285,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",169,
,,,"30-39 years",355,
,,,"40-49 years",539,
,,,"50-59 years",627,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",129,
,,,"30-39 years",378,
,,,"40-49 years",662,
,,,"50-59 years",793,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",133,
,,,"30-39 years",787,
,,,"40-49 years",1423,
,,,"50-59 years",1745,
,,"$2,000 or more ($104,000 or more)","20-29 years",33,
,,,"30-39 years",473,
,,,"40-49 years",1267,
,,,"50-59 years",1653,
,"School Principals","$400-$599 ($20,800-$31,199)","20-29 years",0,
,,,"30-39 years",3,
,,,"40-49 years",3,
,,,"50-59 years",5,
,,"$600-$799 ($31,200-$41,599)","20-29 years",5,
,,,"30-39 years",3,
,,,"40-49 years",7,
,,,"50-59 years",8,
,,"$800-$999 ($41,600-$51,999)","20-29 years",5,
,,,"30-39 years",12,
,,,"40-49 years",19,
,,,"50-59 years",18,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",17,
,,,"30-39 years",49,
,,,"40-49 years",79,
,,,"50-59 years",65,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",28,
,,,"30-39 years",118,
,,,"40-49 years",152,
,,,"50-59 years",155,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",134,
,,,"30-39 years",1346,
,,,"40-49 years",2103,
,,,"50-59 years",2808,
,,"$2,000 or more ($104,000 or more)","20-29 years",33,
,,,"30-39 years",817,
,,,"40-49 years",2537,
,,,"50-59 years",5313,
,"Other Education Managers","$400-$599 ($20,800-$31,199)","20-29 years",12,
,,,"30-39 years",10,
,,,"40-49 years",22,
,,,"50-59 years",13,
,,"$600-$799 ($31,200-$41,599)","20-29 years",43,
,,,"30-39 years",41,
,,,"40-49 years",38,
,,,"50-59 years",30,
,,"$800-$999 ($41,600-$51,999)","20-29 years",80,
,,,"30-39 years",82,
,,,"40-49 years",84,
,,,"50-59 years",77,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",100,
,,,"30-39 years",209,
,,,"40-49 years",203,
,,,"50-59 years",176,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",85,
,,,"30-39 years",279,
,,,"40-49 years",338,
,,,"50-59 years",275,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",70,
,,,"30-39 years",512,
,,,"40-49 years",916,
,,,"50-59 years",1120,
,,"$2,000 or more ($104,000 or more)","20-29 years",11,
,,,"30-39 years",254,
,,,"40-49 years",788,
,,,"50-59 years",1537,
,"ICT Managers","$400-$599 ($20,800-$31,199)","20-29 years",28,
,,,"30-39 years",33,
,,,"40-49 years",31,
,,,"50-59 years",31,
,,"$600-$799 ($31,200-$41,599)","20-29 years",149,
,,,"30-39 years",108,
,,,"40-49 years",84,
,,,"50-59 years",36,
,,"$800-$999 ($41,600-$51,999)","20-29 years",320,
,,,"30-39 years",246,
,,,"40-49 years",172,
,,,"50-59 years",90,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",519,
,,,"30-39 years",645,
,,,"40-49 years",390,
,,,"50-59 years",222,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",581,
,,,"30-39 years",1157,
,,,"40-49 years",719,
,,,"50-59 years",379,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",966,
,,,"30-39 years",3478,
,,,"40-49 years",2714,
,,,"50-59 years",1448,
,,"$2,000 or more ($104,000 or more)","20-29 years",625,
,,,"30-39 years",7327,
,,,"40-49 years",9170,
,,,"50-59 years",4981,
,"Miscellaneous Specialist Managers nfd","$400-$599 ($20,800-$31,199)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$600-$799 ($31,200-$41,599)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",3,
,,"$800-$999 ($41,600-$51,999)","20-29 years",3,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",5,
,,,"30-39 years",3,
,,,"40-49 years",0,
,,,"50-59 years",3,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",4,
,,,"30-39 years",3,
,,,"40-49 years",3,
,,,"50-59 years",0,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",0,
,,,"30-39 years",19,
,,,"40-49 years",19,
,,,"50-59 years",5,
,,"$2,000 or more ($104,000 or more)","20-29 years",0,
,,,"30-39 years",3,
,,,"40-49 years",19,
,,,"50-59 years",8,
,"Commissioned Officers (Management)","$400-$599 ($20,800-$31,199)","20-29 years",93,
,,,"30-39 years",5,
,,,"40-49 years",3,
,,,"50-59 years",3,
,,"$600-$799 ($31,200-$41,599)","20-29 years",259,
,,,"30-39 years",14,
,,,"40-49 years",3,
,,,"50-59 years",5,
,,"$800-$999 ($41,600-$51,999)","20-29 years",319,
,,,"30-39 years",33,
,,,"40-49 years",20,
,,,"50-59 years",11,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",359,
,,,"30-39 years",61,
,,,"40-49 years",43,
,,,"50-59 years",29,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",407,
,,,"30-39 years",155,
,,,"40-49 years",67,
,,,"50-59 years",58,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",468,
,,,"30-39 years",602,
,,,"40-49 years",603,
,,,"50-59 years",370,
,,"$2,000 or more ($104,000 or more)","20-29 years",92,
,,,"30-39 years",738,
,,,"40-49 years",1145,
,,,"50-59 years",758,
,"Senior Non-commissioned Defence Force Members","$400-$599 ($20,800-$31,199)","20-29 years",3,
,,,"30-39 years",0,
,,,"40-49 years",3,
,,,"50-59 years",0,
,,"$600-$799 ($31,200-$41,599)","20-29 years",11,
,,,"30-39 years",0,
,,,"40-49 years",4,
,,,"50-59 years",0,
,,"$800-$999 ($41,600-$51,999)","20-29 years",18,
,,,"30-39 years",6,
,,,"40-49 years",12,
,,,"50-59 years",9,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",23,
,,,"30-39 years",69,
,,,"40-49 years",54,
,,,"50-59 years",15,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",43,
,,,"30-39 years",274,
,,,"40-49 years",225,
,,,"50-59 years",79,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",39,
,,,"30-39 years",459,
,,,"40-49 years",662,
,,,"50-59 years",203,
,,"$2,000 or more ($104,000 or more)","20-29 years",3,
,,,"30-39 years",66,
,,,"40-49 years",141,
,,,"50-59 years",41,
,"Other Specialist Managers","$400-$599 ($20,800-$31,199)","20-29 years",97,
,,,"30-39 years",57,
,,,"40-49 years",76,
,,,"50-59 years",84,
,,"$600-$799 ($31,200-$41,599)","20-29 years",457,
,,,"30-39 years",293,
,,,"40-49 years",300,
,,,"50-59 years",233,
,,"$800-$999 ($41,600-$51,999)","20-29 years",780,
,,,"30-39 years",674,
,,,"40-49 years",605,
,,,"50-59 years",457,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",973,
,,,"30-39 years",1322,
,,,"40-49 years",1210,
,,,"50-59 years",916,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",660,
,,,"30-39 years",1568,
,,,"40-49 years",1409,
,,,"50-59 years",1212,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",580,
,,,"30-39 years",2535,
,,,"40-49 years",2883,
,,,"50-59 years",2360,
,,"$2,000 or more ($104,000 or more)","20-29 years",311,
,,,"30-39 years",3156,
,,,"40-49 years",4497,
,,,"50-59 years",3588,
,"Hospitality, Retail and Service Managers nfd","$400-$599 ($20,800-$31,199)","20-29 years",14,
,,,"30-39 years",22,
,,,"40-49 years",38,
,,,"50-59 years",18,
,,"$600-$799 ($31,200-$41,599)","20-29 years",77,
,,,"30-39 years",45,
,,,"40-49 years",52,
,,,"50-59 years",37,
,,"$800-$999 ($41,600-$51,999)","20-29 years",76,
,,,"30-39 years",67,
,,,"40-49 years",70,
,,,"50-59 years",39,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",56,
,,,"30-39 years",79,
,,,"40-49 years",64,
,,,"50-59 years",53,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",21,
,,,"30-39 years",74,
,,,"40-49 years",59,
,,,"50-59 years",45,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",15,
,,,"30-39 years",48,
,,,"40-49 years",63,
,,,"50-59 years",47,
,,"$2,000 or more ($104,000 or more)","20-29 years",4,
,,,"30-39 years",45,
,,,"40-49 years",64,
,,,"50-59 years",49,
,"Accommodation and Hospitality Managers nfd","$400-$599 ($20,800-$31,199)","20-29 years",3,
,,,"30-39 years",13,
,,,"40-49 years",9,
,,,"50-59 years",12,
,,"$600-$799 ($31,200-$41,599)","20-29 years",18,
,,,"30-39 years",13,
,,,"40-49 years",19,
,,,"50-59 years",27,
,,"$800-$999 ($41,600-$51,999)","20-29 years",21,
,,,"30-39 years",22,
,,,"40-49 years",20,
,,,"50-59 years",23,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",8,
,,,"30-39 years",17,
,,,"40-49 years",21,
,,,"50-59 years",16,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",4,
,,,"30-39 years",15,
,,,"40-49 years",17,
,,,"50-59 years",22,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",0,
,,,"30-39 years",20,
,,,"40-49 years",26,
,,,"50-59 years",8,
,,"$2,000 or more ($104,000 or more)","20-29 years",0,
,,,"30-39 years",9,
,,,"40-49 years",17,
,,,"50-59 years",17,
,"Cafe and Restaurant Managers","$400-$599 ($20,800-$31,199)","20-29 years",636,
,,,"30-39 years",950,
,,,"40-49 years",1342,
,,,"50-59 years",1195,
,,"$600-$799 ($31,200-$41,599)","20-29 years",1836,
,,,"30-39 years",1706,
,,,"40-49 years",1795,
,,,"50-59 years",1307,
,,"$800-$999 ($41,600-$51,999)","20-29 years",1849,
,,,"30-39 years",1870,
,,,"40-49 years",1666,
,,,"50-59 years",1065,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",940,
,,,"30-39 years",1558,
,,,"40-49 years",1381,
,,,"50-59 years",936,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",335,
,,,"30-39 years",833,
,,,"40-49 years",770,
,,,"50-59 years",473,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",158,
,,,"30-39 years",541,
,,,"40-49 years",650,
,,,"50-59 years",407,
,,"$2,000 or more ($104,000 or more)","20-29 years",76,
,,,"30-39 years",366,
,,,"40-49 years",539,
,,,"50-59 years",369,
,"Caravan Park and Camping Ground Managers","$400-$599 ($20,800-$31,199)","20-29 years",23,
,,,"30-39 years",57,
,,,"40-49 years",132,
,,,"50-59 years",158,
,,"$600-$799 ($31,200-$41,599)","20-29 years",27,
,,,"30-39 years",93,
,,,"40-49 years",169,
,,,"50-59 years",234,
,,"$800-$999 ($41,600-$51,999)","20-29 years",20,
,,,"30-39 years",66,
,,,"40-49 years",113,
,,,"50-59 years",170,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",10,
,,,"30-39 years",51,
,,,"40-49 years",103,
,,,"50-59 years",128,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",8,
,,,"30-39 years",23,
,,,"40-49 years",45,
,,,"50-59 years",62,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",3,
,,,"30-39 years",17,
,,,"40-49 years",57,
,,,"50-59 years",52,
,,"$2,000 or more ($104,000 or more)","20-29 years",0,
,,,"30-39 years",13,
,,,"40-49 years",21,
,,,"50-59 years",47,
,"Hotel and Motel Managers","$400-$599 ($20,800-$31,199)","20-29 years",106,
,,,"30-39 years",193,
,,,"40-49 years",313,
,,,"50-59 years",421,
,,"$600-$799 ($31,200-$41,599)","20-29 years",502,
,,,"30-39 years",447,
,,,"40-49 years",494,
,,,"50-59 years",502,
,,"$800-$999 ($41,600-$51,999)","20-29 years",1088,
,,,"30-39 years",847,
,,,"40-49 years",643,
,,,"50-59 years",549,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",530,
,,,"30-39 years",684,
,,,"40-49 years",570,
,,,"50-59 years",567,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",154,
,,,"30-39 years",465,
,,,"40-49 years",368,
,,,"50-59 years",323,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",80,
,,,"30-39 years",376,
,,,"40-49 years",386,
,,,"50-59 years",279,
,,"$2,000 or more ($104,000 or more)","20-29 years",28,
,,,"30-39 years",262,
,,,"40-49 years",382,
,,,"50-59 years",357,
,"Licensed Club Managers","$400-$599 ($20,800-$31,199)","20-29 years",29,
,,,"30-39 years",10,
,,,"40-49 years",17,
,,,"50-59 years",19,
,,"$600-$799 ($31,200-$41,599)","20-29 years",164,
,,,"30-39 years",116,
,,,"40-49 years",121,
,,,"50-59 years",110,
,,"$800-$999 ($41,600-$51,999)","20-29 years",278,
,,,"30-39 years",252,
,,,"40-49 years",269,
,,,"50-59 years",235,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",206,
,,,"30-39 years",314,
,,,"40-49 years",283,
,,,"50-59 years",262,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",72,
,,,"30-39 years",221,
,,,"40-49 years",185,
,,,"50-59 years",163,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",29,
,,,"30-39 years",136,
,,,"40-49 years",157,
,,,"50-59 years",142,
,,"$2,000 or more ($104,000 or more)","20-29 years",11,
,,,"30-39 years",78,
,,,"40-49 years",139,
,,,"50-59 years",107,
,"Other Accommodation and Hospitality Managers","$400-$599 ($20,800-$31,199)","20-29 years",23,
,,,"30-39 years",36,
,,,"40-49 years",83,
,,,"50-59 years",149,
,,"$600-$799 ($31,200-$41,599)","20-29 years",63,
,,,"30-39 years",70,
,,,"40-49 years",110,
,,,"50-59 years",168,
,,"$800-$999 ($41,600-$51,999)","20-29 years",74,
,,,"30-39 years",113,
,,,"40-49 years",114,
,,,"50-59 years",160,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",53,
,,,"30-39 years",102,
,,,"40-49 years",159,
,,,"50-59 years",204,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",21,
,,,"30-39 years",77,
,,,"40-49 years",134,
,,,"50-59 years",150,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",17,
,,,"30-39 years",83,
,,,"40-49 years",146,
,,,"50-59 years",172,
,,"$2,000 or more ($104,000 or more)","20-29 years",15,
,,,"30-39 years",49,
,,,"40-49 years",107,
,,,"50-59 years",118,
,"Retail Managers","$400-$599 ($20,800-$31,199)","20-29 years",2461,
,,,"30-39 years",2118,
,,,"40-49 years",3696,
,,,"50-59 years",3943,
,,"$600-$799 ($31,200-$41,599)","20-29 years",11971,
,,,"30-39 years",6538,
,,,"40-49 years",6921,
,,,"50-59 years",6106,
,,"$800-$999 ($41,600-$51,999)","20-29 years",9813,
,,,"30-39 years",7775,
,,,"40-49 years",6970,
,,,"50-59 years",5491,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",4999,
,,,"30-39 years",6712,
,,,"40-49 years",6331,
,,,"50-59 years",4964,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",1802,
,,,"30-39 years",3963,
,,,"40-49 years",3961,
,,,"50-59 years",2753,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",1061,
,,,"30-39 years",3671,
,,,"40-49 years",4085,
,,,"50-59 years",2774,
,,"$2,000 or more ($104,000 or more)","20-29 years",445,
,,,"30-39 years",2697,
,,,"40-49 years",3573,
,,,"50-59 years",2394,
,"Miscellaneous Hospitality, Retail and Service Managers nfd","$400-$599 ($20,800-$31,199)","20-29 years",3,
,,,"30-39 years",5,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$600-$799 ($31,200-$41,599)","20-29 years",8,
,,,"30-39 years",3,
,,,"40-49 years",3,
,,,"50-59 years",3,
,,"$800-$999 ($41,600-$51,999)","20-29 years",11,
,,,"30-39 years",5,
,,,"40-49 years",8,
,,,"50-59 years",10,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",14,
,,,"30-39 years",19,
,,,"40-49 years",19,
,,,"50-59 years",11,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",6,
,,,"30-39 years",13,
,,,"40-49 years",9,
,,,"50-59 years",12,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",7,
,,,"30-39 years",9,
,,,"40-49 years",26,
,,,"50-59 years",15,
,,"$2,000 or more ($104,000 or more)","20-29 years",0,
,,,"30-39 years",14,
,,,"40-49 years",27,
,,,"50-59 years",19,
,"Amusement, Fitness and Sports Centre Managers","$400-$599 ($20,800-$31,199)","20-29 years",82,
,,,"30-39 years",64,
,,,"40-49 years",98,
,,,"50-59 years",67,
,,"$600-$799 ($31,200-$41,599)","20-29 years",305,
,,,"30-39 years",171,
,,,"40-49 years",182,
,,,"50-59 years",120,
,,"$800-$999 ($41,600-$51,999)","20-29 years",403,
,,,"30-39 years",271,
,,,"40-49 years",233,
,,,"50-59 years",139,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",298,
,,,"30-39 years",377,
,,,"40-49 years",295,
,,,"50-59 years",179,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",134,
,,,"30-39 years",237,
,,,"40-49 years",198,
,,,"50-59 years",134,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",61,
,,,"30-39 years",237,
,,,"40-49 years",186,
,,,"50-59 years",115,
,,"$2,000 or more ($104,000 or more)","20-29 years",15,
,,,"30-39 years",101,
,,,"40-49 years",128,
,,,"50-59 years",106,
,"Call or Contact Centre and Customer Service Managers","$400-$599 ($20,800-$31,199)","20-29 years",152,
,,,"30-39 years",90,
,,,"40-49 years",80,
,,,"50-59 years",95,
,,"$600-$799 ($31,200-$41,599)","20-29 years",828,
,,,"30-39 years",440,
,,,"40-49 years",370,
,,,"50-59 years",254,
,,"$800-$999 ($41,600-$51,999)","20-29 years",1054,
,,,"30-39 years",829,
,,,"40-49 years",739,
,,,"50-59 years",551,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",968,
,,,"30-39 years",1443,
,,,"40-49 years",1244,
,,,"50-59 years",945,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",576,
,,,"30-39 years",1519,
,,,"40-49 years",1282,
,,,"50-59 years",845,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",463,
,,,"30-39 years",1986,
,,,"40-49 years",2017,
,,,"50-59 years",1432,
,,"$2,000 or more ($104,000 or more)","20-29 years",193,
,,,"30-39 years",1560,
,,,"40-49 years",2007,
,,,"50-59 years",1299,
,"Conference and Event Organisers","$400-$599 ($20,800-$31,199)","20-29 years",220,
,,,"30-39 years",93,
,,,"40-49 years",63,
,,,"50-59 years",46,
,,"$600-$799 ($31,200-$41,599)","20-29 years",1052,
,,,"30-39 years",286,
,,,"40-49 years",171,
,,,"50-59 years",111,
,,"$800-$999 ($41,600-$51,999)","20-29 years",1502,
,,,"30-39 years",587,
,,,"40-49 years",305,
,,,"50-59 years",182,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",1171,
,,,"30-39 years",880,
,,,"40-49 years",423,
,,,"50-59 years",274,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",485,
,,,"30-39 years",658,
,,,"40-49 years",365,
,,,"50-59 years",187,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",187,
,,,"30-39 years",582,
,,,"40-49 years",329,
,,,"50-59 years",204,
,,"$2,000 or more ($104,000 or more)","20-29 years",28,
,,,"30-39 years",184,
,,,"40-49 years",247,
,,,"50-59 years",120,
,"Transport Services Managers","$400-$599 ($20,800-$31,199)","20-29 years",46,
,,,"30-39 years",77,
,,,"40-49 years",194,
,,,"50-59 years",227,
,,"$600-$799 ($31,200-$41,599)","20-29 years",113,
,,,"30-39 years",237,
,,,"40-49 years",349,
,,,"50-59 years",362,
,,"$800-$999 ($41,600-$51,999)","20-29 years",173,
,,,"30-39 years",313,
,,,"40-49 years",454,
,,,"50-59 years",382,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",177,
,,,"30-39 years",415,
,,,"40-49 years",662,
,,,"50-59 years",518,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",95,
,,,"30-39 years",348,
,,,"40-49 years",515,
,,,"50-59 years",484,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",71,
,,,"30-39 years",409,
,,,"40-49 years",678,
,,,"50-59 years",580,
,,"$2,000 or more ($104,000 or more)","20-29 years",54,
,,,"30-39 years",307,
,,,"40-49 years",633,
,,,"50-59 years",595,
,"Other Hospitality, Retail and Service Managers","$400-$599 ($20,800-$31,199)","20-29 years",145,
,,,"30-39 years",194,
,,,"40-49 years",283,
,,,"50-59 years",313,
,,"$600-$799 ($31,200-$41,599)","20-29 years",578,
,,,"30-39 years",510,
,,,"40-49 years",635,
,,,"50-59 years",709,
,,"$800-$999 ($41,600-$51,999)","20-29 years",888,
,,,"30-39 years",896,
,,,"40-49 years",1139,
,,,"50-59 years",1028,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",1146,
,,,"30-39 years",1581,
,,,"40-49 years",1819,
,,,"50-59 years",1687,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",862,
,,,"30-39 years",1804,
,,,"40-49 years",2081,
,,,"50-59 years",1614,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",808,
,,,"30-39 years",2715,
,,,"40-49 years",3313,
,,,"50-59 years",2506,
,,"$2,000 or more ($104,000 or more)","20-29 years",379,
,,,"30-39 years",3074,
,,,"40-49 years",4570,
,,,"50-59 years",2813,
,"Professionals nfd","$400-$599 ($20,800-$31,199)","20-29 years",268,
,,,"30-39 years",139,
,,,"40-49 years",89,
,,,"50-59 years",58,
,,"$600-$799 ($31,200-$41,599)","20-29 years",401,
,,,"30-39 years",214,
,,,"40-49 years",155,
,,,"50-59 years",93,
,,"$800-$999 ($41,600-$51,999)","20-29 years",798,
,,,"30-39 years",425,
,,,"40-49 years",251,
,,,"50-59 years",172,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",1462,
,,,"30-39 years",1099,
,,,"40-49 years",576,
,,,"50-59 years",405,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",1117,
,,,"30-39 years",1808,
,,,"40-49 years",948,
,,,"50-59 years",560,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",753,
,,,"30-39 years",2104,
,,,"40-49 years",1464,
,,,"50-59 years",1046,
,,"$2,000 or more ($104,000 or more)","20-29 years",237,
,,,"30-39 years",1117,
,,,"40-49 years",1301,
,,,"50-59 years",1059,
,"Arts and Media Professionals nfd","$400-$599 ($20,800-$31,199)","20-29 years",10,
,,,"30-39 years",3,
,,,"40-49 years",4,
,,,"50-59 years",4,
,,"$600-$799 ($31,200-$41,599)","20-29 years",14,
,,,"30-39 years",12,
,,,"40-49 years",13,
,,,"50-59 years",7,
,,"$800-$999 ($41,600-$51,999)","20-29 years",18,
,,,"30-39 years",10,
,,,"40-49 years",5,
,,,"50-59 years",3,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",8,
,,,"30-39 years",17,
,,,"40-49 years",11,
,,,"50-59 years",3,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",0,
,,,"30-39 years",7,
,,,"40-49 years",12,
,,,"50-59 years",9,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",3,
,,,"30-39 years",11,
,,,"40-49 years",13,
,,,"50-59 years",8,
,,"$2,000 or more ($104,000 or more)","20-29 years",0,
,,,"30-39 years",8,
,,,"40-49 years",11,
,,,"50-59 years",10,
,"Arts Professionals nfd","$400-$599 ($20,800-$31,199)","20-29 years",38,
,,,"30-39 years",31,
,,,"40-49 years",44,
,,,"50-59 years",57,
,,"$600-$799 ($31,200-$41,599)","20-29 years",24,
,,,"30-39 years",34,
,,,"40-49 years",37,
,,,"50-59 years",39,
,,"$800-$999 ($41,600-$51,999)","20-29 years",16,
,,,"30-39 years",31,
,,,"40-49 years",36,
,,,"50-59 years",24,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",8,
,,,"30-39 years",13,
,,,"40-49 years",19,
,,,"50-59 years",24,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",7,
,,,"30-39 years",17,
,,,"40-49 years",16,
,,,"50-59 years",15,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",7,
,,,"30-39 years",13,
,,,"40-49 years",19,
,,,"50-59 years",15,
,,"$2,000 or more ($104,000 or more)","20-29 years",3,
,,,"30-39 years",6,
,,,"40-49 years",12,
,,,"50-59 years",14,
,"Actors, Dancers and Other Entertainers","$400-$599 ($20,800-$31,199)","20-29 years",91,
,,,"30-39 years",54,
