Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"LFHRP Labour Force Status and Hours Worked Not Stated, OCCP Occupation, INCP Total Personal Income (weekly) and AGE10P  Age in Ten Year Groups"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"


"LFHRP Labour Force Status and Hours Worked Not Stated","OCCP Occupation","INCP Total Personal Income (weekly)","AGE10P  Age in Ten Year Groups",
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",48,
,,,"30-39 years",197,
,,,"40-49 years",342,
,,,"50-59 years",391,
,,"$2,000 or more ($104,000 or more)","20-29 years",50,
,,,"30-39 years",165,
,,,"40-49 years",376,
,,,"50-59 years",528,
,"Specialist Managers nfd","$400-$599 ($20,800-$31,199)","20-29 years",20,
,,,"30-39 years",47,
,,,"40-49 years",72,
,,,"50-59 years",80,
,,"$600-$799 ($31,200-$41,599)","20-29 years",77,
,,,"30-39 years",134,
,,,"40-49 years",145,
,,,"50-59 years",109,
,,"$800-$999 ($41,600-$51,999)","20-29 years",126,
,,,"30-39 years",195,
,,,"40-49 years",218,
,,,"50-59 years",207,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",197,
,,,"30-39 years",373,
,,,"40-49 years",407,
,,,"50-59 years",329,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",181,
,,,"30-39 years",441,
,,,"40-49 years",506,
,,,"50-59 years",413,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",258,
,,,"30-39 years",1005,
,,,"40-49 years",1117,
,,,"50-59 years",857,
,,"$2,000 or more ($104,000 or more)","20-29 years",194,
,,,"30-39 years",1928,
,,,"40-49 years",2770,
,,,"50-59 years",1854,
,"Advertising, Public Relations and Sales Managers","$400-$599 ($20,800-$31,199)","20-29 years",210,
,,,"30-39 years",209,
,,,"40-49 years",262,
,,,"50-59 years",189,
,,"$600-$799 ($31,200-$41,599)","20-29 years",951,
,,,"30-39 years",638,
,,,"40-49 years",582,
,,,"50-59 years",428,
,,"$800-$999 ($41,600-$51,999)","20-29 years",1851,
,,,"30-39 years",1361,
,,,"40-49 years",1102,
,,,"50-59 years",756,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",2721,
,,,"30-39 years",2961,
,,,"40-49 years",2159,
,,,"50-59 years",1471,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",2304,
,,,"30-39 years",3809,
,,,"40-49 years",2842,
,,,"50-59 years",1689,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",2354,
,,,"30-39 years",7296,
,,,"40-49 years",5926,
,,,"50-59 years",3232,
,,"$2,000 or more ($104,000 or more)","20-29 years",1336,
,,,"30-39 years",11697,
,,,"40-49 years",13139,
,,,"50-59 years",6551,
,"Business Administration Managers nfd","$400-$599 ($20,800-$31,199)","20-29 years",3,
,,,"30-39 years",3,
,,,"40-49 years",9,
,,,"50-59 years",3,
,,"$600-$799 ($31,200-$41,599)","20-29 years",9,
,,,"30-39 years",10,
,,,"40-49 years",15,
,,,"50-59 years",3,
,,"$800-$999 ($41,600-$51,999)","20-29 years",19,
,,,"30-39 years",28,
,,,"40-49 years",30,
,,,"50-59 years",24,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",28,
,,,"30-39 years",57,
,,,"40-49 years",58,
,,,"50-59 years",37,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",30,
,,,"30-39 years",63,
,,,"40-49 years",80,
,,,"50-59 years",58,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",50,
,,,"30-39 years",202,
,,,"40-49 years",254,
,,,"50-59 years",168,
,,"$2,000 or more ($104,000 or more)","20-29 years",25,
,,,"30-39 years",303,
,,,"40-49 years",467,
,,,"50-59 years",350,
,"Corporate Services Managers","$400-$599 ($20,800-$31,199)","20-29 years",10,
,,,"30-39 years",13,
,,,"40-49 years",8,
,,,"50-59 years",22,
,,"$600-$799 ($31,200-$41,599)","20-29 years",58,
,,,"30-39 years",51,
,,,"40-49 years",71,
,,,"50-59 years",49,
,,"$800-$999 ($41,600-$51,999)","20-29 years",94,
,,,"30-39 years",98,
,,,"40-49 years",168,
,,,"50-59 years",138,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",90,
,,,"30-39 years",164,
,,,"40-49 years",292,
,,,"50-59 years",303,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",88,
,,,"30-39 years",188,
,,,"40-49 years",283,
,,,"50-59 years",250,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",68,
,,,"30-39 years",316,
,,,"40-49 years",492,
,,,"50-59 years",457,
,,"$2,000 or more ($104,000 or more)","20-29 years",41,
,,,"30-39 years",352,
,,,"40-49 years",681,
,,,"50-59 years",665,
,"Finance Managers","$400-$599 ($20,800-$31,199)","20-29 years",16,
,,,"30-39 years",36,
,,,"40-49 years",49,
,,,"50-59 years",61,
,,"$600-$799 ($31,200-$41,599)","20-29 years",106,
,,,"30-39 years",86,
,,,"40-49 years",105,
,,,"50-59 years",110,
,,"$800-$999 ($41,600-$51,999)","20-29 years",198,
,,,"30-39 years",234,
,,,"40-49 years",298,
,,,"50-59 years",263,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",347,
,,,"30-39 years",609,
,,,"40-49 years",707,
,,,"50-59 years",632,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",368,
,,,"30-39 years",866,
,,,"40-49 years",978,
,,,"50-59 years",798,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",623,
,,,"30-39 years",2153,
,,,"40-49 years",2367,
,,,"50-59 years",1832,
,,"$2,000 or more ($104,000 or more)","20-29 years",606,
,,,"30-39 years",6253,
,,,"40-49 years",7814,
,,,"50-59 years",4372,
,"Human Resource Managers","$400-$599 ($20,800-$31,199)","20-29 years",57,
,,,"30-39 years",34,
,,,"40-49 years",35,
,,,"50-59 years",46,
,,"$600-$799 ($31,200-$41,599)","20-29 years",257,
,,,"30-39 years",107,
,,,"40-49 years",101,
,,,"50-59 years",82,
,,"$800-$999 ($41,600-$51,999)","20-29 years",455,
,,,"30-39 years",302,
,,,"40-49 years",287,
,,,"50-59 years",194,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",636,
,,,"30-39 years",660,
,,,"40-49 years",613,
,,,"50-59 years",471,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",517,
,,,"30-39 years",895,
,,,"40-49 years",954,
,,,"50-59 years",734,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",650,
,,,"30-39 years",2269,
,,,"40-49 years",2519,
,,,"50-59 years",1883,
,,"$2,000 or more ($104,000 or more)","20-29 years",515,
,,,"30-39 years",4240,
,,,"40-49 years",5201,
,,,"50-59 years",3682,
,"Policy and Planning Managers","$400-$599 ($20,800-$31,199)","20-29 years",5,
,,,"30-39 years",0,
,,,"40-49 years",4,
,,,"50-59 years",0,
,,"$600-$799 ($31,200-$41,599)","20-29 years",21,
,,,"30-39 years",12,
,,,"40-49 years",14,
,,,"50-59 years",6,
,,"$800-$999 ($41,600-$51,999)","20-29 years",54,
,,,"30-39 years",48,
,,,"40-49 years",26,
,,,"50-59 years",23,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",139,
,,,"30-39 years",139,
,,,"40-49 years",120,
,,,"50-59 years",107,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",234,
,,,"30-39 years",330,
,,,"40-49 years",271,
,,,"50-59 years",218,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",452,
,,,"30-39 years",1581,
,,,"40-49 years",1568,
,,,"50-59 years",1261,
,,"$2,000 or more ($104,000 or more)","20-29 years",186,
,,,"30-39 years",1773,
,,,"40-49 years",2740,
,,,"50-59 years",2516,
,"Research and Development Managers","$400-$599 ($20,800-$31,199)","20-29 years",4,
,,,"30-39 years",9,
,,,"40-49 years",5,
,,,"50-59 years",12,
,,"$600-$799 ($31,200-$41,599)","20-29 years",20,
,,,"30-39 years",13,
,,,"40-49 years",20,
,,,"50-59 years",11,
,,"$800-$999 ($41,600-$51,999)","20-29 years",61,
,,,"30-39 years",51,
,,,"40-49 years",36,
,,,"50-59 years",23,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",122,
,,,"30-39 years",115,
,,,"40-49 years",94,
,,,"50-59 years",78,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",139,
,,,"30-39 years",232,
,,,"40-49 years",190,
,,,"50-59 years",143,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",168,
,,,"30-39 years",694,
,,,"40-49 years",623,
,,,"50-59 years",475,
,,"$2,000 or more ($104,000 or more)","20-29 years",89,
,,,"30-39 years",1048,
,,,"40-49 years",1492,
,,,"50-59 years",1165,
,"Construction, Distribution and Production Managers nfd","$400-$599 ($20,800-$31,199)","20-29 years",7,
,,,"30-39 years",7,
,,,"40-49 years",5,
,,,"50-59 years",5,
,,"$600-$799 ($31,200-$41,599)","20-29 years",9,
,,,"30-39 years",8,
,,,"40-49 years",16,
,,,"50-59 years",20,
,,"$800-$999 ($41,600-$51,999)","20-29 years",12,
,,,"30-39 years",29,
,,,"40-49 years",24,
,,,"50-59 years",24,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",24,
,,,"30-39 years",49,
,,,"40-49 years",61,
,,,"50-59 years",32,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",21,
,,,"30-39 years",43,
,,,"40-49 years",68,
,,,"50-59 years",55,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",25,
,,,"30-39 years",91,
,,,"40-49 years",108,
,,,"50-59 years",76,
,,"$2,000 or more ($104,000 or more)","20-29 years",19,
,,,"30-39 years",174,
,,,"40-49 years",260,
,,,"50-59 years",174,
,"Construction Managers","$400-$599 ($20,800-$31,199)","20-29 years",507,
,,,"30-39 years",401,
