Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"LFHRP Labour Force Status and Hours Worked Not Stated, OCCP - 4 Digit Level, AGE10P - Age in Ten Year Groups and INCP Total Personal Income (weekly)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"


"LFHRP Labour Force Status and Hours Worked Not Stated","OCCP - 4 Digit Level","AGE10P - Age in Ten Year Groups","INCP Total Personal Income (weekly)",
,,,"$500-$649 ($26,000-$33,799)",70,
,,,"$650-$799 ($33,800-$41,599)",127,
,,,"$800-$999 ($41,600-$51,999)",321,
,,,"$1,000-$1,249 ($52,000-$64,999)",749,
,,,"$1,250-$1,499 ($65,000-$77,999)",953,
,,,"$1,500-$1,749 ($78,000-$90,999)",1189,
,,,"$1,750-$1,999 ($91,000-$103,999)",1039,
,,,"$2,000-$2,999 ($104,000-$155,999)",2578,
,,,"$3,000 or more ($156,000 or more)",2575,
,,"20-29 years","$400-$499 ($20,800-$25,999)",13,
,,,"$500-$649 ($26,000-$33,799)",35,
,,,"$650-$799 ($33,800-$41,599)",106,
,,,"$800-$999 ($41,600-$51,999)",268,
,,,"$1,000-$1,249 ($52,000-$64,999)",417,
,,,"$1,250-$1,499 ($65,000-$77,999)",370,
,,,"$1,500-$1,749 ($78,000-$90,999)",292,
,,,"$1,750-$1,999 ($91,000-$103,999)",196,
,,,"$2,000-$2,999 ($104,000-$155,999)",292,
,,,"$3,000 or more ($156,000 or more)",105,
,"Legislators","50-59 years","$400-$499 ($20,800-$25,999)",5,
,,,"$500-$649 ($26,000-$33,799)",13,
,,,"$650-$799 ($33,800-$41,599)",12,
,,,"$800-$999 ($41,600-$51,999)",9,
,,,"$1,000-$1,249 ($52,000-$64,999)",22,
,,,"$1,250-$1,499 ($65,000-$77,999)",37,
,,,"$1,500-$1,749 ($78,000-$90,999)",21,
,,,"$1,750-$1,999 ($91,000-$103,999)",23,
,,,"$2,000-$2,999 ($104,000-$155,999)",80,
,,,"$3,000 or more ($156,000 or more)",227,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",10,
,,,"$650-$799 ($33,800-$41,599)",6,
,,,"$800-$999 ($41,600-$51,999)",11,
,,,"$1,000-$1,249 ($52,000-$64,999)",29,
,,,"$1,250-$1,499 ($65,000-$77,999)",15,
,,,"$1,500-$1,749 ($78,000-$90,999)",25,
,,,"$1,750-$1,999 ($91,000-$103,999)",25,
,,,"$2,000-$2,999 ($104,000-$155,999)",63,
,,,"$3,000 or more ($156,000 or more)",202,
,,"30-39 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",4,
,,,"$800-$999 ($41,600-$51,999)",7,
,,,"$1,000-$1,249 ($52,000-$64,999)",12,
,,,"$1,250-$1,499 ($65,000-$77,999)",4,
