Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"LFHRP Labour Force Status and Hours Worked Not Stated, OCCP - 4 Digit Level, AGE10P - Age in Ten Year Groups and INCP Total Personal Income (weekly)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"


"LFHRP Labour Force Status and Hours Worked Not Stated","OCCP - 4 Digit Level","AGE10P - Age in Ten Year Groups","INCP Total Personal Income (weekly)",
,,,"$1,750-$1,999 ($91,000-$103,999)",55,
,,,"$2,000-$2,999 ($104,000-$155,999)",58,
,,,"$3,000 or more ($156,000 or more)",25,
,,"40-49 years","$400-$499 ($20,800-$25,999)",4,
,,,"$500-$649 ($26,000-$33,799)",24,
,,,"$650-$799 ($33,800-$41,599)",97,
,,,"$800-$999 ($41,600-$51,999)",200,
,,,"$1,000-$1,249 ($52,000-$64,999)",260,
,,,"$1,250-$1,499 ($65,000-$77,999)",176,
,,,"$1,500-$1,749 ($78,000-$90,999)",107,
,,,"$1,750-$1,999 ($91,000-$103,999)",61,
,,,"$2,000-$2,999 ($104,000-$155,999)",65,
,,,"$3,000 or more ($156,000 or more)",34,
,,"30-39 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",18,
,,,"$650-$799 ($33,800-$41,599)",101,
,,,"$800-$999 ($41,600-$51,999)",185,
,,,"$1,000-$1,249 ($52,000-$64,999)",247,
,,,"$1,250-$1,499 ($65,000-$77,999)",191,
,,,"$1,500-$1,749 ($78,000-$90,999)",102,
,,,"$1,750-$1,999 ($91,000-$103,999)",52,
,,,"$2,000-$2,999 ($104,000-$155,999)",61,
,,,"$3,000 or more ($156,000 or more)",39,
,,"20-29 years","$400-$499 ($20,800-$25,999)",38,
,,,"$500-$649 ($26,000-$33,799)",113,
,,,"$650-$799 ($33,800-$41,599)",202,
,,,"$800-$999 ($41,600-$51,999)",257,
,,,"$1,000-$1,249 ($52,000-$64,999)",211,
,,,"$1,250-$1,499 ($65,000-$77,999)",102,
,,,"$1,500-$1,749 ($78,000-$90,999)",52,
,,,"$1,750-$1,999 ($91,000-$103,999)",22,
,,,"$2,000-$2,999 ($104,000-$155,999)",28,
,,,"$3,000 or more ($156,000 or more)",32,
,"Structural Steel and Welding Trades Workers","50-59 years","$400-$499 ($20,800-$25,999)",80,
,,,"$500-$649 ($26,000-$33,799)",222,
,,,"$650-$799 ($33,800-$41,599)",601,
,,,"$800-$999 ($41,600-$51,999)",1534,
,,,"$1,000-$1,249 ($52,000-$64,999)",2189,
,,,"$1,250-$1,499 ($65,000-$77,999)",1305,
,,,"$1,500-$1,749 ($78,000-$90,999)",955,
,,,"$1,750-$1,999 ($91,000-$103,999)",576,
,,,"$2,000-$2,999 ($104,000-$155,999)",734,
,,,"$3,000 or more ($156,000 or more)",332,
,,"40-49 years","$400-$499 ($20,800-$25,999)",82,
,,,"$500-$649 ($26,000-$33,799)",214,
,,,"$650-$799 ($33,800-$41,599)",787,
,,,"$800-$999 ($41,600-$51,999)",1974,
,,,"$1,000-$1,249 ($52,000-$64,999)",2745,
,,,"$1,250-$1,499 ($65,000-$77,999)",1754,
,,,"$1,500-$1,749 ($78,000-$90,999)",1253,
,,,"$1,750-$1,999 ($91,000-$103,999)",821,
,,,"$2,000-$2,999 ($104,000-$155,999)",1120,
,,,"$3,000 or more ($156,000 or more)",449,
,,"30-39 years","$400-$499 ($20,800-$25,999)",56,
,,,"$500-$649 ($26,000-$33,799)",201,
,,,"$650-$799 ($33,800-$41,599)",755,
,,,"$800-$999 ($41,600-$51,999)",2122,
,,,"$1,000-$1,249 ($52,000-$64,999)",2820,
,,,"$1,250-$1,499 ($65,000-$77,999)",1911,
,,,"$1,500-$1,749 ($78,000-$90,999)",1368,
,,,"$1,750-$1,999 ($91,000-$103,999)",990,
,,,"$2,000-$2,999 ($104,000-$155,999)",1402,
,,,"$3,000 or more ($156,000 or more)",608,
,,"20-29 years","$400-$499 ($20,800-$25,999)",296,
,,,"$500-$649 ($26,000-$33,799)",967,
,,,"$650-$799 ($33,800-$41,599)",1761,
,,,"$800-$999 ($41,600-$51,999)",2913,
,,,"$1,000-$1,249 ($52,000-$64,999)",2635,
,,,"$1,250-$1,499 ($65,000-$77,999)",1412,
,,,"$1,500-$1,749 ($78,000-$90,999)",952,
,,,"$1,750-$1,999 ($91,000-$103,999)",616,
,,,"$2,000-$2,999 ($104,000-$155,999)",843,
,,,"$3,000 or more ($156,000 or more)",271,
,"Mechanical Engineering Trades Workers, nfd","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",3,
,,,"$1,000-$1,249 ($52,000-$64,999)",13,
,,,"$1,250-$1,499 ($65,000-$77,999)",10,
,,,"$1,500-$1,749 ($78,000-$90,999)",12,
,,,"$1,750-$1,999 ($91,000-$103,999)",5,
,,,"$2,000-$2,999 ($104,000-$155,999)",13,
,,,"$3,000 or more ($156,000 or more)",3,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",4,
,,,"$800-$999 ($41,600-$51,999)",3,
,,,"$1,000-$1,249 ($52,000-$64,999)",18,
,,,"$1,250-$1,499 ($65,000-$77,999)",23,
,,,"$1,500-$1,749 ($78,000-$90,999)",14,
,,,"$1,750-$1,999 ($91,000-$103,999)",4,
,,,"$2,000-$2,999 ($104,000-$155,999)",20,
,,,"$3,000 or more ($156,000 or more)",6,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",3,
,,,"$800-$999 ($41,600-$51,999)",9,
,,,"$1,000-$1,249 ($52,000-$64,999)",9,
,,,"$1,250-$1,499 ($65,000-$77,999)",16,
,,,"$1,500-$1,749 ($78,000-$90,999)",13,
,,,"$1,750-$1,999 ($91,000-$103,999)",8,
,,,"$2,000-$2,999 ($104,000-$155,999)",14,
,,,"$3,000 or more ($156,000 or more)",3,
,,"20-29 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",10,
,,,"$650-$799 ($33,800-$41,599)",9,
,,,"$800-$999 ($41,600-$51,999)",10,
,,,"$1,000-$1,249 ($52,000-$64,999)",8,
,,,"$1,250-$1,499 ($65,000-$77,999)",6,
,,,"$1,500-$1,749 ($78,000-$90,999)",0,
,,,"$1,750-$1,999 ($91,000-$103,999)",6,
,,,"$2,000-$2,999 ($104,000-$155,999)",4,
,,,"$3,000 or more ($156,000 or more)",0,
,"Aircraft Maintenance Engineers","50-59 years","$400-$499 ($20,800-$25,999)",8,
,,,"$500-$649 ($26,000-$33,799)",11,
,,,"$650-$799 ($33,800-$41,599)",24,
,,,"$800-$999 ($41,600-$51,999)",49,
,,,"$1,000-$1,249 ($52,000-$64,999)",128,
,,,"$1,250-$1,499 ($65,000-$77,999)",240,
,,,"$1,500-$1,749 ($78,000-$90,999)",341,
,,,"$1,750-$1,999 ($91,000-$103,999)",332,
,,,"$2,000-$2,999 ($104,000-$155,999)",617,
,,,"$3,000 or more ($156,000 or more)",338,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",7,
,,,"$650-$799 ($33,800-$41,599)",24,
,,,"$800-$999 ($41,600-$51,999)",58,
,,,"$1,000-$1,249 ($52,000-$64,999)",197,
,,,"$1,250-$1,499 ($65,000-$77,999)",310,
,,,"$1,500-$1,749 ($78,000-$90,999)",536,
,,,"$1,750-$1,999 ($91,000-$103,999)",519,
,,,"$2,000-$2,999 ($104,000-$155,999)",802,
,,,"$3,000 or more ($156,000 or more)",430,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",8,
,,,"$650-$799 ($33,800-$41,599)",32,
,,,"$800-$999 ($41,600-$51,999)",90,
,,,"$1,000-$1,249 ($52,000-$64,999)",270,
,,,"$1,250-$1,499 ($65,000-$77,999)",506,
,,,"$1,500-$1,749 ($78,000-$90,999)",791,
,,,"$1,750-$1,999 ($91,000-$103,999)",477,
,,,"$2,000-$2,999 ($104,000-$155,999)",544,
,,,"$3,000 or more ($156,000 or more)",146,
,,"20-29 years","$400-$499 ($20,800-$25,999)",17,
,,,"$500-$649 ($26,000-$33,799)",66,
,,,"$650-$799 ($33,800-$41,599)",177,
,,,"$800-$999 ($41,600-$51,999)",282,
,,,"$1,000-$1,249 ($52,000-$64,999)",558,
,,,"$1,250-$1,499 ($65,000-$77,999)",772,
,,,"$1,500-$1,749 ($78,000-$90,999)",459,
,,,"$1,750-$1,999 ($91,000-$103,999)",167,
,,,"$2,000-$2,999 ($104,000-$155,999)",110,
,,,"$3,000 or more ($156,000 or more)",14,
,"Metal Fitters and Machinists","50-59 years","$400-$499 ($20,800-$25,999)",63,
,,,"$500-$649 ($26,000-$33,799)",188,
,,,"$650-$799 ($33,800-$41,599)",425,
,,,"$800-$999 ($41,600-$51,999)",1231,
,,,"$1,000-$1,249 ($52,000-$64,999)",2585,
,,,"$1,250-$1,499 ($65,000-$77,999)",2323,
,,,"$1,500-$1,749 ($78,000-$90,999)",2109,
,,,"$1,750-$1,999 ($91,000-$103,999)",1610,
,,,"$2,000-$2,999 ($104,000-$155,999)",2563,
,,,"$3,000 or more ($156,000 or more)",739,
,,"40-49 years","$400-$499 ($20,800-$25,999)",45,
,,,"$500-$649 ($26,000-$33,799)",127,
,,,"$650-$799 ($33,800-$41,599)",394,
,,,"$800-$999 ($41,600-$51,999)",1104,
,,,"$1,000-$1,249 ($52,000-$64,999)",2482,
,,,"$1,250-$1,499 ($65,000-$77,999)",2357,
,,,"$1,500-$1,749 ($78,000-$90,999)",2259,
,,,"$1,750-$1,999 ($91,000-$103,999)",1859,
,,,"$2,000-$2,999 ($104,000-$155,999)",3543,
,,,"$3,000 or more ($156,000 or more)",1230,
,,"30-39 years","$400-$499 ($20,800-$25,999)",33,
,,,"$500-$649 ($26,000-$33,799)",103,
,,,"$650-$799 ($33,800-$41,599)",344,
,,,"$800-$999 ($41,600-$51,999)",1171,
,,,"$1,000-$1,249 ($52,000-$64,999)",2402,
,,,"$1,250-$1,499 ($65,000-$77,999)",2331,
,,,"$1,500-$1,749 ($78,000-$90,999)",2385,
,,,"$1,750-$1,999 ($91,000-$103,999)",2099,
,,,"$2,000-$2,999 ($104,000-$155,999)",4575,
,,,"$3,000 or more ($156,000 or more)",1502,
,,"20-29 years","$400-$499 ($20,800-$25,999)",229,
,,,"$500-$649 ($26,000-$33,799)",744,
,,,"$650-$799 ($33,800-$41,599)",1317,
,,,"$800-$999 ($41,600-$51,999)",2227,
,,,"$1,000-$1,249 ($52,000-$64,999)",2795,
,,,"$1,250-$1,499 ($65,000-$77,999)",2256,
,,,"$1,500-$1,749 ($78,000-$90,999)",1888,
,,,"$1,750-$1,999 ($91,000-$103,999)",1438,
,,,"$2,000-$2,999 ($104,000-$155,999)",2670,
,,,"$3,000 or more ($156,000 or more)",716,
,"Precision Metal Trades Workers","50-59 years","$400-$499 ($20,800-$25,999)",20,
,,,"$500-$649 ($26,000-$33,799)",51,
,,,"$650-$799 ($33,800-$41,599)",125,
,,,"$800-$999 ($41,600-$51,999)",152,
,,,"$1,000-$1,249 ($52,000-$64,999)",217,
,,,"$1,250-$1,499 ($65,000-$77,999)",165,
,,,"$1,500-$1,749 ($78,000-$90,999)",143,
,,,"$1,750-$1,999 ($91,000-$103,999)",71,
,,,"$2,000-$2,999 ($104,000-$155,999)",65,
,,,"$3,000 or more ($156,000 or more)",16,
,,"40-49 years","$400-$499 ($20,800-$25,999)",13,
,,,"$500-$649 ($26,000-$33,799)",31,
,,,"$650-$799 ($33,800-$41,599)",91,
,,,"$800-$999 ($41,600-$51,999)",191,
,,,"$1,000-$1,249 ($52,000-$64,999)",239,
,,,"$1,250-$1,499 ($65,000-$77,999)",167,
,,,"$1,500-$1,749 ($78,000-$90,999)",163,
,,,"$1,750-$1,999 ($91,000-$103,999)",75,
,,,"$2,000-$2,999 ($104,000-$155,999)",84,
,,,"$3,000 or more ($156,000 or more)",23,
,,"30-39 years","$400-$499 ($20,800-$25,999)",10,
,,,"$500-$649 ($26,000-$33,799)",47,
,,,"$650-$799 ($33,800-$41,599)",94,
,,,"$800-$999 ($41,600-$51,999)",185,
,,,"$1,000-$1,249 ($52,000-$64,999)",282,
,,,"$1,250-$1,499 ($65,000-$77,999)",193,
,,,"$1,500-$1,749 ($78,000-$90,999)",117,
,,,"$1,750-$1,999 ($91,000-$103,999)",57,
,,,"$2,000-$2,999 ($104,000-$155,999)",69,
,,,"$3,000 or more ($156,000 or more)",21,
,,"20-29 years","$400-$499 ($20,800-$25,999)",52,
,,,"$500-$649 ($26,000-$33,799)",148,
,,,"$650-$799 ($33,800-$41,599)",207,
,,,"$800-$999 ($41,600-$51,999)",238,
,,,"$1,000-$1,249 ($52,000-$64,999)",167,
,,,"$1,250-$1,499 ($65,000-$77,999)",113,
,,,"$1,500-$1,749 ($78,000-$90,999)",34,
,,,"$1,750-$1,999 ($91,000-$103,999)",22,
,,,"$2,000-$2,999 ($104,000-$155,999)",22,
,,,"$3,000 or more ($156,000 or more)",4,
,"Toolmakers and Engineering Patternmakers","50-59 years","$400-$499 ($20,800-$25,999)",11,
,,,"$500-$649 ($26,000-$33,799)",16,
,,,"$650-$799 ($33,800-$41,599)",49,
,,,"$800-$999 ($41,600-$51,999)",105,
,,,"$1,000-$1,249 ($52,000-$64,999)",203,
,,,"$1,250-$1,499 ($65,000-$77,999)",139,
,,,"$1,500-$1,749 ($78,000-$90,999)",112,
,,,"$1,750-$1,999 ($91,000-$103,999)",40,
,,,"$2,000-$2,999 ($104,000-$155,999)",23,
,,,"$3,000 or more ($156,000 or more)",9,
,,"40-49 years","$400-$499 ($20,800-$25,999)",4,
,,,"$500-$649 ($26,000-$33,799)",5,
,,,"$650-$799 ($33,800-$41,599)",28,
,,,"$800-$999 ($41,600-$51,999)",81,
,,,"$1,000-$1,249 ($52,000-$64,999)",170,
,,,"$1,250-$1,499 ($65,000-$77,999)",130,
,,,"$1,500-$1,749 ($78,000-$90,999)",94,
,,,"$1,750-$1,999 ($91,000-$103,999)",36,
,,,"$2,000-$2,999 ($104,000-$155,999)",23,
,,,"$3,000 or more ($156,000 or more)",3,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",5,
,,,"$650-$799 ($33,800-$41,599)",24,
,,,"$800-$999 ($41,600-$51,999)",62,
,,,"$1,000-$1,249 ($52,000-$64,999)",122,
,,,"$1,250-$1,499 ($65,000-$77,999)",93,
,,,"$1,500-$1,749 ($78,000-$90,999)",53,
,,,"$1,750-$1,999 ($91,000-$103,999)",17,
,,,"$2,000-$2,999 ($104,000-$155,999)",16,
,,,"$3,000 or more ($156,000 or more)",7,
,,"20-29 years","$400-$499 ($20,800-$25,999)",5,
,,,"$500-$649 ($26,000-$33,799)",22,
,,,"$650-$799 ($33,800-$41,599)",29,
,,,"$800-$999 ($41,600-$51,999)",58,
,,,"$1,000-$1,249 ($52,000-$64,999)",43,
,,,"$1,250-$1,499 ($65,000-$77,999)",23,
,,,"$1,500-$1,749 ($78,000-$90,999)",3,
,,,"$1,750-$1,999 ($91,000-$103,999)",9,
,,,"$2,000-$2,999 ($104,000-$155,999)",8,
,,,"$3,000 or more ($156,000 or more)",0,
,"Panelbeaters, and Vehicle Body Builders, Trimmers and Painters, nfd","50-59 years","$400-$499 ($20,800-$25,999)",9,
,,,"$500-$649 ($26,000-$33,799)",17,
,,,"$650-$799 ($33,800-$41,599)",30,
,,,"$800-$999 ($41,600-$51,999)",46,
,,,"$1,000-$1,249 ($52,000-$64,999)",28,
,,,"$1,250-$1,499 ($65,000-$77,999)",32,
,,,"$1,500-$1,749 ($78,000-$90,999)",29,
,,,"$1,750-$1,999 ($91,000-$103,999)",11,
,,,"$2,000-$2,999 ($104,000-$155,999)",19,
,,,"$3,000 or more ($156,000 or more)",11,
,,"40-49 years","$400-$499 ($20,800-$25,999)",15,
,,,"$500-$649 ($26,000-$33,799)",15,
,,,"$650-$799 ($33,800-$41,599)",30,
,,,"$800-$999 ($41,600-$51,999)",41,
,,,"$1,000-$1,249 ($52,000-$64,999)",63,
,,,"$1,250-$1,499 ($65,000-$77,999)",30,
,,,"$1,500-$1,749 ($78,000-$90,999)",38,
,,,"$1,750-$1,999 ($91,000-$103,999)",22,
,,,"$2,000-$2,999 ($104,000-$155,999)",42,
,,,"$3,000 or more ($156,000 or more)",6,
,,"30-39 years","$400-$499 ($20,800-$25,999)",11,
,,,"$500-$649 ($26,000-$33,799)",9,
,,,"$650-$799 ($33,800-$41,599)",11,
,,,"$800-$999 ($41,600-$51,999)",32,
,,,"$1,000-$1,249 ($52,000-$64,999)",34,
,,,"$1,250-$1,499 ($65,000-$77,999)",31,
,,,"$1,500-$1,749 ($78,000-$90,999)",35,
,,,"$1,750-$1,999 ($91,000-$103,999)",21,
,,,"$2,000-$2,999 ($104,000-$155,999)",9,
,,,"$3,000 or more ($156,000 or more)",0,
,,"20-29 years","$400-$499 ($20,800-$25,999)",5,
,,,"$500-$649 ($26,000-$33,799)",10,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",19,
,,,"$1,000-$1,249 ($52,000-$64,999)",16,
,,,"$1,250-$1,499 ($65,000-$77,999)",10,
,,,"$1,500-$1,749 ($78,000-$90,999)",7,
,,,"$1,750-$1,999 ($91,000-$103,999)",0,
,,,"$2,000-$2,999 ($104,000-$155,999)",4,
,,,"$3,000 or more ($156,000 or more)",0,
,"Panelbeaters","50-59 years","$400-$499 ($20,800-$25,999)",40,
,,,"$500-$649 ($26,000-$33,799)",83,
,,,"$650-$799 ($33,800-$41,599)",170,
,,,"$800-$999 ($41,600-$51,999)",357,
,,,"$1,000-$1,249 ($52,000-$64,999)",471,
,,,"$1,250-$1,499 ($65,000-$77,999)",284,
,,,"$1,500-$1,749 ($78,000-$90,999)",186,
,,,"$1,750-$1,999 ($91,000-$103,999)",93,
,,,"$2,000-$2,999 ($104,000-$155,999)",66,
,,,"$3,000 or more ($156,000 or more)",19,
,,"40-49 years","$400-$499 ($20,800-$25,999)",31,
,,,"$500-$649 ($26,000-$33,799)",115,
,,,"$650-$799 ($33,800-$41,599)",180,
,,,"$800-$999 ($41,600-$51,999)",390,
,,,"$1,000-$1,249 ($52,000-$64,999)",585,
,,,"$1,250-$1,499 ($65,000-$77,999)",371,
,,,"$1,500-$1,749 ($78,000-$90,999)",239,
,,,"$1,750-$1,999 ($91,000-$103,999)",138,
,,,"$2,000-$2,999 ($104,000-$155,999)",142,
,,,"$3,000 or more ($156,000 or more)",39,
,,"30-39 years","$400-$499 ($20,800-$25,999)",25,
,,,"$500-$649 ($26,000-$33,799)",65,
,,,"$650-$799 ($33,800-$41,599)",159,
,,,"$800-$999 ($41,600-$51,999)",375,
,,,"$1,000-$1,249 ($52,000-$64,999)",509,
,,,"$1,250-$1,499 ($65,000-$77,999)",332,
,,,"$1,500-$1,749 ($78,000-$90,999)",231,
,,,"$1,750-$1,999 ($91,000-$103,999)",123,
,,,"$2,000-$2,999 ($104,000-$155,999)",79,
,,,"$3,000 or more ($156,000 or more)",24,
,,"20-29 years","$400-$499 ($20,800-$25,999)",94,
,,,"$500-$649 ($26,000-$33,799)",258,
,,,"$650-$799 ($33,800-$41,599)",402,
,,,"$800-$999 ($41,600-$51,999)",479,
,,,"$1,000-$1,249 ($52,000-$64,999)",430,
,,,"$1,250-$1,499 ($65,000-$77,999)",164,
,,,"$1,500-$1,749 ($78,000-$90,999)",90,
,,,"$1,750-$1,999 ($91,000-$103,999)",39,
,,,"$2,000-$2,999 ($104,000-$155,999)",23,
,,,"$3,000 or more ($156,000 or more)",6,
,"Vehicle Body Builders and Trimmers","50-59 years","$400-$499 ($20,800-$25,999)",28,
,,,"$500-$649 ($26,000-$33,799)",56,
,,,"$650-$799 ($33,800-$41,599)",142,
,,,"$800-$999 ($41,600-$51,999)",236,
,,,"$1,000-$1,249 ($52,000-$64,999)",216,
,,,"$1,250-$1,499 ($65,000-$77,999)",102,
,,,"$1,500-$1,749 ($78,000-$90,999)",59,
,,,"$1,750-$1,999 ($91,000-$103,999)",34,
,,,"$2,000-$2,999 ($104,000-$155,999)",27,
,,,"$3,000 or more ($156,000 or more)",4,
,,"40-49 years","$400-$499 ($20,800-$25,999)",17,
,,,"$500-$649 ($26,000-$33,799)",53,
,,,"$650-$799 ($33,800-$41,599)",127,
,,,"$800-$999 ($41,600-$51,999)",250,
,,,"$1,000-$1,249 ($52,000-$64,999)",245,
,,,"$1,250-$1,499 ($65,000-$77,999)",114,
,,,"$1,500-$1,749 ($78,000-$90,999)",62,
,,,"$1,750-$1,999 ($91,000-$103,999)",31,
,,,"$2,000-$2,999 ($104,000-$155,999)",26,
,,,"$3,000 or more ($156,000 or more)",10,
,,"30-39 years","$400-$499 ($20,800-$25,999)",9,
,,,"$500-$649 ($26,000-$33,799)",27,
,,,"$650-$799 ($33,800-$41,599)",160,
,,,"$800-$999 ($41,600-$51,999)",257,
,,,"$1,000-$1,249 ($52,000-$64,999)",217,
,,,"$1,250-$1,499 ($65,000-$77,999)",96,
,,,"$1,500-$1,749 ($78,000-$90,999)",45,
,,,"$1,750-$1,999 ($91,000-$103,999)",25,
,,,"$2,000-$2,999 ($104,000-$155,999)",34,
,,,"$3,000 or more ($156,000 or more)",3,
,,"20-29 years","$400-$499 ($20,800-$25,999)",41,
,,,"$500-$649 ($26,000-$33,799)",92,
,,,"$650-$799 ($33,800-$41,599)",208,
,,,"$800-$999 ($41,600-$51,999)",258,
,,,"$1,000-$1,249 ($52,000-$64,999)",162,
,,,"$1,250-$1,499 ($65,000-$77,999)",66,
,,,"$1,500-$1,749 ($78,000-$90,999)",27,
,,,"$1,750-$1,999 ($91,000-$103,999)",8,
,,,"$2,000-$2,999 ($104,000-$155,999)",8,
,,,"$3,000 or more ($156,000 or more)",6,
,"Vehicle Painters","50-59 years","$400-$499 ($20,800-$25,999)",26,
,,,"$500-$649 ($26,000-$33,799)",54,
,,,"$650-$799 ($33,800-$41,599)",113,
,,,"$800-$999 ($41,600-$51,999)",249,
,,,"$1,000-$1,249 ($52,000-$64,999)",300,
,,,"$1,250-$1,499 ($65,000-$77,999)",172,
,,,"$1,500-$1,749 ($78,000-$90,999)",111,
,,,"$1,750-$1,999 ($91,000-$103,999)",66,
,,,"$2,000-$2,999 ($104,000-$155,999)",26,
,,,"$3,000 or more ($156,000 or more)",16,
,,"40-49 years","$400-$499 ($20,800-$25,999)",17,
,,,"$500-$649 ($26,000-$33,799)",63,
,,,"$650-$799 ($33,800-$41,599)",180,
,,,"$800-$999 ($41,600-$51,999)",385,
,,,"$1,000-$1,249 ($52,000-$64,999)",505,
,,,"$1,250-$1,499 ($65,000-$77,999)",289,
,,,"$1,500-$1,749 ($78,000-$90,999)",189,
,,,"$1,750-$1,999 ($91,000-$103,999)",97,
,,,"$2,000-$2,999 ($104,000-$155,999)",67,
,,,"$3,000 or more ($156,000 or more)",4,
,,"30-39 years","$400-$499 ($20,800-$25,999)",22,
,,,"$500-$649 ($26,000-$33,799)",69,
,,,"$650-$799 ($33,800-$41,599)",194,
,,,"$800-$999 ($41,600-$51,999)",425,
,,,"$1,000-$1,249 ($52,000-$64,999)",601,
,,,"$1,250-$1,499 ($65,000-$77,999)",346,
,,,"$1,500-$1,749 ($78,000-$90,999)",212,
,,,"$1,750-$1,999 ($91,000-$103,999)",90,
,,,"$2,000-$2,999 ($104,000-$155,999)",65,
,,,"$3,000 or more ($156,000 or more)",14,
,,"20-29 years","$400-$499 ($20,800-$25,999)",114,
,,,"$500-$649 ($26,000-$33,799)",303,
,,,"$650-$799 ($33,800-$41,599)",442,
,,,"$800-$999 ($41,600-$51,999)",557,
,,,"$1,000-$1,249 ($52,000-$64,999)",505,
,,,"$1,250-$1,499 ($65,000-$77,999)",208,
,,,"$1,500-$1,749 ($78,000-$90,999)",86,
,,,"$1,750-$1,999 ($91,000-$103,999)",38,
,,,"$2,000-$2,999 ($104,000-$155,999)",22,
,,,"$3,000 or more ($156,000 or more)",4,
,"Construction Trades Workers, nfd","50-59 years","$400-$499 ($20,800-$25,999)",7,
,,,"$500-$649 ($26,000-$33,799)",17,
,,,"$650-$799 ($33,800-$41,599)",25,
,,,"$800-$999 ($41,600-$51,999)",49,
,,,"$1,000-$1,249 ($52,000-$64,999)",74,
,,,"$1,250-$1,499 ($65,000-$77,999)",42,
,,,"$1,500-$1,749 ($78,000-$90,999)",25,
,,,"$1,750-$1,999 ($91,000-$103,999)",21,
,,,"$2,000-$2,999 ($104,000-$155,999)",17,
,,,"$3,000 or more ($156,000 or more)",10,
,,"40-49 years","$400-$499 ($20,800-$25,999)",4,
,,,"$500-$649 ($26,000-$33,799)",16,
,,,"$650-$799 ($33,800-$41,599)",31,
,,,"$800-$999 ($41,600-$51,999)",45,
,,,"$1,000-$1,249 ($52,000-$64,999)",61,
,,,"$1,250-$1,499 ($65,000-$77,999)",63,
,,,"$1,500-$1,749 ($78,000-$90,999)",37,
,,,"$1,750-$1,999 ($91,000-$103,999)",27,
,,,"$2,000-$2,999 ($104,000-$155,999)",23,
,,,"$3,000 or more ($156,000 or more)",4,
,,"30-39 years","$400-$499 ($20,800-$25,999)",5,
,,,"$500-$649 ($26,000-$33,799)",11,
,,,"$650-$799 ($33,800-$41,599)",32,
,,,"$800-$999 ($41,600-$51,999)",57,
,,,"$1,000-$1,249 ($52,000-$64,999)",80,
,,,"$1,250-$1,499 ($65,000-$77,999)",44,
,,,"$1,500-$1,749 ($78,000-$90,999)",39,
,,,"$1,750-$1,999 ($91,000-$103,999)",23,
,,,"$2,000-$2,999 ($104,000-$155,999)",22,
,,,"$3,000 or more ($156,000 or more)",7,
,,"20-29 years","$400-$499 ($20,800-$25,999)",5,
,,,"$500-$649 ($26,000-$33,799)",24,
,,,"$650-$799 ($33,800-$41,599)",31,
,,,"$800-$999 ($41,600-$51,999)",57,
,,,"$1,000-$1,249 ($52,000-$64,999)",57,
,,,"$1,250-$1,499 ($65,000-$77,999)",38,
,,,"$1,500-$1,749 ($78,000-$90,999)",26,
,,,"$1,750-$1,999 ($91,000-$103,999)",5,
,,,"$2,000-$2,999 ($104,000-$155,999)",10,
,,,"$3,000 or more ($156,000 or more)",0,
,"Bricklayers, and Carpenters and Joiners, nfd","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",4,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",0,
,,,"$1,250-$1,499 ($65,000-$77,999)",0,
,,,"$1,500-$1,749 ($78,000-$90,999)",0,
,,,"$1,750-$1,999 ($91,000-$103,999)",0,
,,,"$2,000-$2,999 ($104,000-$155,999)",0,
,,,"$3,000 or more ($156,000 or more)",0,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",4,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",8,
,,,"$1,250-$1,499 ($65,000-$77,999)",0,
,,,"$1,500-$1,749 ($78,000-$90,999)",0,
,,,"$1,750-$1,999 ($91,000-$103,999)",0,
,,,"$2,000-$2,999 ($104,000-$155,999)",3,
,,,"$3,000 or more ($156,000 or more)",0,
